,m2_construit,nb_pieces,nb_sdb,nb_etages,prix_achat_m2,travaux_necessaire,annee_construction,ascenseur,jardin,piscine,terrace,balcon,salle_rangement,espace_vert,parking,num_quartier,type_appartement,type_duplex,type_maison,type_penthouse
0,64,2,1,0,1328,False,1960.0,True,False,False,False,False,False,False,False,21,True,False,False,False
3,64,2,1,0,1717,False,1955.0,True,False,False,False,False,True,False,False,21,True,False,False,False
4,108,2,2,0,2407,False,2003.0,True,False,True,False,False,True,True,True,21,True,False,False,False
5,126,4,2,0,1548,False,1981.0,True,False,False,True,True,False,False,True,21,True,False,False,False
10,69,2,2,0,1710,True,1963.0,True,False,False,True,False,False,False,False,21,True,False,False,False
12,123,3,2,0,1585,False,1992.0,True,False,False,False,False,False,False,False,21,True,False,False,False
13,109,3,2,0,1881,False,1983.0,True,False,False,True,False,True,False,False,21,True,False,False,False
14,64,3,1,0,1125,False,1960.0,True,False,False,True,False,False,False,False,21,True,False,False,False
26,75,3,1,0,1840,False,1984.0,True,False,False,True,False,False,False,True,21,True,False,False,False
28,65,3,1,0,2308,True,1976.0,True,False,True,False,False,False,False,False,21,True,False,False,False
29,70,2,1,0,2084,False,1968.0,True,False,False,True,True,False,False,False,21,True,False,False,False
30,75,1,1,0,1233,False,2008.0,True,False,False,False,True,False,False,False,21,True,False,False,False
31,123,3,2,0,2423,False,2002.0,True,False,True,False,False,True,False,True,21,True,False,False,False
34,61,3,1,0,1639,False,1966.0,True,False,False,False,True,False,False,False,21,True,False,False,False
35,71,3,1,0,1851,True,1980.0,True,False,False,True,False,False,False,False,21,True,False,False,False
40,125,3,3,0,2200,False,2004.0,True,False,True,True,False,True,False,False,21,False,True,False,False
45,83,2,2,0,2750,False,2020.0,True,False,True,True,False,True,True,True,21,False,False,False,True
46,45,2,1,0,1889,True,1968.0,True,False,False,False,True,False,False,False,21,True,False,False,False
49,125,3,2,0,2180,False,2004.0,True,False,True,True,False,True,True,False,21,False,True,False,False
51,158,3,2,0,1829,False,2003.0,True,False,True,True,False,True,True,True,21,False,False,False,True
53,108,3,2,0,1657,False,1978.0,True,False,False,True,False,False,False,False,21,True,False,False,False
54,62,2,1,0,1984,False,1984.0,True,False,False,False,False,False,False,False,21,True,False,False,False
55,51,2,1,0,1755,True,1967.0,True,False,False,True,False,False,False,False,21,True,False,False,False
56,112,3,2,0,2580,False,2013.0,True,False,True,False,False,True,True,True,21,True,False,False,False
79,97,4,1,0,1340,False,1970.0,True,False,False,False,False,False,False,False,21,True,False,False,False
85,150,2,1,2,1060,True,1993.0,False,False,False,True,False,True,False,True,21,False,False,True,False
86,140,3,3,0,1946,False,2004.0,True,False,True,True,False,True,True,False,21,False,True,False,False
87,58,3,1,0,1466,False,1951.0,True,False,False,False,False,False,False,False,21,True,False,False,False
89,110,4,2,0,1591,False,1978.0,True,False,False,True,True,False,False,False,21,True,False,False,False
90,173,4,2,0,1549,False,2003.0,True,False,True,False,False,True,False,True,21,True,False,False,False
93,125,3,2,0,1680,False,1996.0,True,False,False,False,False,True,False,True,21,True,False,False,False
94,58,2,1,0,1466,False,1968.0,True,False,False,False,False,False,False,False,21,True,False,False,False
95,92,3,1,0,1738,False,1962.0,True,False,False,True,False,False,False,False,21,True,False,False,False
96,70,2,1,0,1671,False,1975.0,True,False,False,False,False,False,False,False,21,True,False,False,False
97,54,2,1,0,2037,False,1960.0,True,False,False,False,True,False,False,False,21,True,False,False,False
99,108,3,1,0,1296,False,1995.0,True,False,False,True,False,False,False,False,21,True,False,False,False
100,65,2,1,0,1638,False,1963.0,True,False,False,True,False,False,False,False,21,True,False,False,False
101,102,3,2,0,1250,False,1964.0,True,False,False,True,False,False,False,False,21,True,False,False,False
102,80,2,1,0,1850,False,1999.0,True,False,False,True,False,True,True,True,21,True,False,False,False
103,108,2,1,0,1898,False,2002.0,True,False,True,True,False,True,False,True,21,False,True,False,False
104,80,3,2,0,2750,False,2000.0,True,False,True,False,False,False,True,True,21,True,False,False,False
105,16,3,1,0,7125,False,1970.0,True,False,False,False,False,False,False,False,21,True,False,False,False
106,54,2,1,0,1665,False,1964.0,True,False,False,True,False,False,False,False,21,True,False,False,False
107,70,2,2,0,3000,False,2003.0,True,False,True,False,False,True,True,True,21,True,False,False,False
108,99,2,2,0,1465,False,2007.0,True,False,False,False,False,False,False,False,21,True,False,False,False
128,90,3,2,0,2167,False,1985.0,True,False,False,True,False,True,False,False,21,True,False,False,False
132,73,2,1,0,1747,False,1999.0,True,False,False,False,False,False,False,False,21,True,False,False,False
133,122,3,2,0,1467,False,1999.0,True,False,False,False,False,False,False,True,21,True,False,False,False
134,98,3,2,0,2716,False,2020.0,True,False,True,True,False,True,True,True,21,True,False,False,False
135,97,3,2,0,2701,False,2020.0,True,False,True,True,False,True,True,True,21,True,False,False,False
136,111,3,2,0,2681,False,2020.0,True,False,True,True,False,True,True,True,21,False,False,False,True
137,99,3,2,0,2541,False,2020.0,True,False,True,True,False,True,True,True,21,True,False,False,False
138,77,3,1,0,1474,True,1968.0,True,False,False,False,False,False,False,False,21,True,False,False,False
139,85,3,1,0,1624,False,1966.0,True,False,False,True,False,False,False,False,21,True,False,False,False
141,133,2,1,0,1985,False,2003.0,True,False,True,True,True,True,True,True,21,True,False,False,False
142,60,3,1,0,1638,False,1960.0,True,False,False,False,False,False,False,False,21,True,False,False,False
143,133,3,3,0,2068,False,2004.0,True,False,True,True,False,True,False,False,21,True,False,False,False
144,85,2,1,0,1459,False,1967.0,True,False,False,False,True,False,False,False,21,True,False,False,False
150,121,3,2,0,2149,False,2001.0,True,False,True,True,True,True,True,True,21,True,False,False,False
157,104,3,2,0,2628,False,2020.0,True,False,True,True,False,True,True,True,21,True,False,False,False
159,95,2,1,0,1632,False,1965.0,True,False,False,True,True,False,False,False,21,True,False,False,False
160,74,3,1,0,1351,False,1968.0,True,False,False,False,False,False,False,False,21,True,False,False,False
161,97,2,1,0,2165,False,2003.0,True,False,True,True,False,True,False,True,21,True,False,False,False
162,90,2,2,0,2667,False,2004.0,True,False,True,False,False,True,False,True,21,False,False,False,True
164,49,2,1,0,1714,False,1969.0,True,False,False,False,False,False,True,False,21,True,False,False,False
166,69,3,1,0,1551,False,1961.0,True,False,False,True,False,True,False,False,21,True,False,False,False
167,170,3,2,0,1912,False,2010.0,True,False,True,True,False,True,True,True,21,False,False,False,True
168,48,2,1,0,1854,False,1971.0,True,False,False,False,False,False,False,False,21,True,False,False,False
169,98,3,2,0,2907,False,2001.0,True,False,True,False,False,True,True,True,21,True,False,False,False
170,50,1,1,0,2700,False,2008.0,True,False,True,False,False,True,False,True,21,True,False,False,False
171,136,3,2,0,1691,False,1999.0,True,False,False,True,False,False,False,True,21,False,False,False,True
173,95,3,1,0,1947,False,1975.0,True,False,False,True,False,False,False,False,21,True,False,False,False
174,56,3,1,0,1429,True,1965.0,True,False,False,True,False,False,False,False,21,True,False,False,False
175,43,1,1,0,1953,False,1971.0,True,False,False,False,False,False,False,False,21,True,False,False,False
184,83,3,1,0,1102,False,1966.0,True,False,False,True,True,False,False,False,21,True,False,False,False
186,65,2,1,0,1336,True,1982.0,True,False,False,False,False,False,False,False,21,True,False,False,False
187,58,3,1,0,1810,False,1966.0,True,False,False,False,True,False,False,False,21,True,False,False,False
188,115,3,2,0,1878,False,2001.0,True,False,True,False,False,False,False,True,21,True,False,False,False
189,82,3,1,0,1463,False,1960.0,True,False,False,False,True,False,False,False,21,True,False,False,False
190,83,3,1,0,1627,False,1985.0,True,False,False,False,False,False,False,False,21,True,False,False,False
191,90,2,1,0,2356,False,2002.0,True,False,True,False,False,True,True,False,21,True,False,False,False
192,95,2,2,0,1937,False,2011.0,True,False,False,False,False,True,False,False,21,True,False,False,False
199,114,4,2,0,2009,False,1987.0,True,False,False,True,False,False,False,False,21,True,False,False,False
200,81,3,2,0,1914,False,1999.0,True,False,False,False,False,True,True,True,21,True,False,False,False
201,91,2,2,0,2508,False,2020.0,True,False,True,True,False,True,True,True,21,True,False,False,False
202,95,3,1,0,1053,True,1970.0,True,False,False,False,True,False,False,False,21,True,False,False,False
204,60,2,1,0,1750,False,1967.0,True,False,False,True,False,False,False,False,21,True,False,False,False
205,80,3,1,0,2062,False,1977.0,True,False,False,True,False,False,False,False,21,True,False,False,False
206,60,2,1,0,1217,False,1960.0,True,False,False,False,False,False,False,False,21,True,False,False,False
207,50,1,1,0,3180,False,2007.0,True,False,True,False,False,True,True,True,21,True,False,False,False
208,136,3,1,0,1000,False,1967.0,True,False,False,True,True,True,False,False,21,True,False,False,False
209,96,2,2,0,2188,False,2001.0,True,False,True,True,False,True,True,True,21,True,False,False,False
210,71,2,2,0,2789,False,2001.0,True,False,True,False,False,True,False,False,21,True,False,False,False
211,74,2,1,0,1891,False,1966.0,True,False,False,False,False,False,False,False,21,True,False,False,False
212,65,2,1,0,1692,False,1962.0,True,False,False,False,False,False,False,False,21,True,False,False,False
213,93,3,1,0,1720,True,1976.0,True,False,False,True,False,False,False,False,21,True,False,False,False
214,75,3,1,0,1373,False,1968.0,True,False,False,True,False,False,False,False,21,True,False,False,False
217,115,3,1,0,1347,False,1975.0,False,False,False,True,False,True,False,False,21,False,True,False,False
219,72,3,1,0,1936,False,1961.0,True,False,False,True,False,False,False,False,21,True,False,False,False
221,90,3,2,0,1722,False,1998.0,True,False,False,True,False,True,True,True,21,True,False,False,False
224,105,2,1,0,1800,False,1995.0,True,False,False,True,False,False,False,True,21,True,False,False,False
226,120,3,1,0,1625,False,1962.0,True,False,False,False,False,False,False,False,21,True,False,False,False
227,90,3,2,0,2467,False,2001.0,True,False,True,False,False,True,False,True,21,True,False,False,False
229,80,3,1,0,2275,False,1974.0,True,False,False,True,False,False,False,False,21,True,False,False,False
230,120,3,2,0,2458,False,2003.0,True,False,False,True,True,True,False,True,21,True,False,False,False
236,60,3,1,0,1242,True,1960.0,True,False,False,False,False,False,False,False,21,True,False,False,False
237,45,2,1,0,2333,False,1960.0,True,False,False,False,False,False,False,False,21,True,False,False,False
238,95,3,1,0,1368,False,1985.0,True,False,False,True,True,False,False,False,21,True,False,False,False
240,71,3,1,0,2099,False,1970.0,True,False,False,False,False,False,False,False,21,True,False,False,False
241,70,3,1,0,1929,True,1969.0,True,False,False,False,False,False,False,False,21,True,False,False,False
242,98,4,2,0,2347,False,1977.0,True,False,False,True,False,False,False,False,21,True,False,False,False
252,70,2,1,0,1829,False,1965.0,True,False,False,False,False,False,False,False,21,True,False,False,False
253,93,3,1,0,1787,False,1972.0,True,False,False,True,False,False,False,False,21,True,False,False,False
255,86,3,1,0,1500,False,1984.0,True,False,False,True,False,False,False,False,21,True,False,False,False
256,75,3,2,0,1760,False,1961.0,True,False,False,False,False,True,False,False,21,True,False,False,False
257,85,3,1,0,1588,False,1969.0,True,False,False,False,False,False,False,False,21,True,False,False,False
262,83,2,1,0,1759,False,2003.0,True,False,False,True,True,True,False,False,21,True,False,False,False
264,30,1,1,0,1967,False,1960.0,True,False,False,False,False,False,True,False,21,True,False,False,False
266,125,3,3,0,2200,False,2004.0,True,False,True,True,False,True,True,False,21,False,False,False,True
267,153,4,2,0,1163,False,1999.0,True,False,False,False,False,True,True,True,21,True,False,False,False
268,86,3,1,0,1500,False,1984.0,True,False,False,True,False,False,False,False,21,True,False,False,False
270,63,3,1,0,1302,False,1960.0,True,False,False,False,False,False,False,False,21,True,False,False,False
272,95,3,1,0,2095,False,1966.0,True,False,True,False,False,True,True,True,21,True,False,False,False
276,60,3,1,0,2000,False,1960.0,False,False,False,False,False,False,False,False,21,True,False,False,False
283,80,2,2,0,2250,False,2003.0,True,False,True,False,False,True,True,True,21,True,False,False,False
286,61,3,1,0,1459,False,1960.0,True,False,False,False,False,False,False,False,21,True,False,False,False
287,67,3,1,0,1776,False,1960.0,False,False,False,False,False,False,False,False,21,True,False,False,False
289,92,3,2,0,1902,False,1962.0,True,False,False,True,False,False,False,False,21,True,False,False,False
291,63,3,1,0,2651,False,1966.0,True,False,False,False,False,False,False,False,21,True,False,False,False
292,57,3,1,0,1684,False,1965.0,True,False,False,False,False,False,False,False,21,True,False,False,False
293,63,3,1,0,1333,False,1968.0,True,False,False,False,False,False,False,False,21,True,False,False,False
294,52,2,1,0,1942,True,1960.0,True,False,False,False,False,False,False,False,21,True,False,False,False
296,125,3,3,0,2200,False,2004.0,True,False,True,True,False,True,False,False,21,False,True,False,False
300,66,3,1,0,1409,False,1969.0,False,False,False,True,True,False,False,False,21,True,False,False,False
301,95,2,2,0,1626,False,2007.0,True,False,False,True,False,False,False,False,21,True,False,False,False
