,m2_construit,nb_pieces,nb_sdb,nb_etages,latitude,longitude,prix_achat,prix_achat_m2,travaux_necessaire,annee_construction,ascenseur,jardin,piscine,terrace,balcon,salle_rangement,espace_vert,parking,num_quartier,type_appartement,type_duplex,type_maison,type_penthouse
21742,64,2,1,0,40.473318,-3.579845,85000,1328,0,1960.0,1,0,0,0,0,0,0,0,21,True,False,False,False
21741,70,3,1,0,40.473318,-3.579845,129900,1856,1,2077.0,1,0,0,1,0,0,0,0,21,True,False,False,False
21740,94,2,2,0,40.473318,-3.579845,144247,1535,0,2077.0,1,0,0,0,0,1,0,0,21,True,False,False,False
21739,64,2,1,0,40.473318,-3.579845,109900,1717,0,1955.0,1,0,0,0,0,1,0,0,21,True,False,False,False
21738,108,2,2,0,40.473318,-3.579845,260000,2407,0,2003.0,1,0,1,0,0,1,1,1,21,True,False,False,False
21737,126,4,2,0,40.473318,-3.579845,195000,1548,0,1981.0,1,0,0,1,1,0,0,1,21,True,False,False,False
21736,120,5,2,0,40.473318,-3.579845,190000,1583,0,2077.0,1,0,1,1,1,1,1,1,21,True,False,False,False
21735,125,3,2,0,40.473318,-3.579845,198500,1588,0,2077.0,1,0,0,1,0,0,0,0,21,True,False,False,False
21734,84,3,2,0,40.473318,-3.579845,212000,2524,0,2077.0,1,0,1,0,0,1,1,1,21,True,False,False,False
21733,85,2,1,0,40.473318,-3.579845,131400,1546,1,1950.0,1,0,0,1,0,0,0,0,21,True,False,False,False
21732,69,2,2,0,40.473318,-3.579845,118000,1710,1,1963.0,1,0,0,1,0,0,0,0,21,True,False,False,False
21731,122,3,2,0,40.473318,-3.579845,246900,2024,0,2077.0,1,0,1,0,0,1,1,1,21,True,False,False,False
21730,123,3,2,0,40.473318,-3.579845,195000,1585,0,1992.0,1,0,0,0,0,0,0,0,21,True,False,False,False
21729,109,3,2,0,40.473318,-3.579845,205000,1881,0,1983.0,1,0,0,1,0,1,0,0,21,True,False,False,False
21728,64,3,1,0,40.473318,-3.579845,72000,1125,0,1960.0,1,0,0,1,0,0,0,0,21,True,False,False,False
21727,115,3,1,0,40.473318,-3.579845,160000,1391,0,2077.0,0,0,0,1,0,1,0,0,21,True,False,False,False
21726,115,3,1,0,40.473318,-3.579845,184900,1608,0,2077.0,1,0,0,1,0,0,0,0,21,True,False,False,False
21725,65,3,1,0,40.473318,-3.579845,90000,1385,0,2077.0,1,0,0,1,0,0,0,0,21,True,False,False,False
21724,75,3,1,0,40.473318,-3.579845,129900,1732,1,2077.0,1,0,0,1,0,0,0,0,21,True,False,False,False
21723,60,2,1,0,40.473318,-3.579845,94900,1582,0,2077.0,1,0,0,0,0,0,0,0,21,True,False,False,False
21722,60,2,1,0,40.473318,-3.579845,89900,1498,0,2077.0,1,0,0,1,0,0,0,0,21,True,False,False,False
21721,95,4,2,0,40.473318,-3.579845,144900,1525,0,2077.0,1,0,0,0,0,0,0,0,21,True,False,False,False
21720,76,3,1,0,40.473318,-3.579845,110000,1447,1,2077.0,1,0,0,1,0,0,0,0,21,True,False,False,False
21719,51,2,1,0,40.473318,-3.579845,93000,1824,0,2077.0,0,0,0,0,0,0,0,0,21,True,False,False,False
21718,134,3,2,0,40.473318,-3.579845,130000,970,0,2077.0,1,0,0,0,0,0,0,0,21,True,False,False,False
21717,62,2,1,0,40.473318,-3.579845,104000,1677,0,2077.0,0,0,0,1,0,0,0,0,21,True,False,False,False
21716,75,3,1,0,40.473318,-3.579845,138000,1840,0,1984.0,1,0,0,1,0,0,0,1,21,True,False,False,False
21715,112,4,2,0,40.473318,-3.579845,280000,2500,0,2077.0,1,0,1,0,0,1,1,1,21,True,False,False,False
21714,65,3,1,0,40.473318,-3.579845,150000,2308,1,1976.0,1,0,1,0,0,0,0,0,21,True,False,False,False
