,m2_construit,nb_pieces,prix_achat,prix_achat_m2,travaux_necessaire,jardin,piscine,terrace,balcon,salle_rangement,espace_vert,parking,num_quartier,type_appartement,type_duplex,type_maison,type_penthouse,nom_quartier
0,64,2,85000,1328,False,False,False,False,False,False,False,False,21,True,False,False,False,Barajas
1,70,3,129900,1856,True,False,False,True,False,False,False,False,21,True,False,False,False,Barajas
2,94,2,144247,1535,False,False,False,False,False,True,False,False,21,True,False,False,False,Barajas
3,64,2,109900,1717,False,False,False,False,False,True,False,False,21,True,False,False,False,Barajas
4,108,2,260000,2407,False,False,True,False,False,True,True,True,21,True,False,False,False,Barajas
5,126,4,195000,1548,False,False,False,True,True,False,False,True,21,True,False,False,False,Barajas
6,120,5,190000,1583,False,False,True,True,True,True,True,True,21,True,False,False,False,Barajas
7,125,3,198500,1588,False,False,False,True,False,False,False,False,21,True,False,False,False,Barajas
8,84,3,212000,2524,False,False,True,False,False,True,True,True,21,True,False,False,False,Barajas
9,85,2,131400,1546,True,False,False,True,False,False,False,False,21,True,False,False,False,Barajas
10,69,2,118000,1710,True,False,False,True,False,False,False,False,21,True,False,False,False,Barajas
11,122,3,246900,2024,False,False,True,False,False,True,True,True,21,True,False,False,False,Barajas
12,123,3,195000,1585,False,False,False,False,False,False,False,False,21,True,False,False,False,Barajas
13,109,3,205000,1881,False,False,False,True,False,True,False,False,21,True,False,False,False,Barajas
14,64,3,72000,1125,False,False,False,True,False,False,False,False,21,True,False,False,False,Barajas
15,115,3,160000,1391,False,False,False,True,False,True,False,False,21,True,False,False,False,Barajas
16,115,3,184900,1608,False,False,False,True,False,False,False,False,21,True,False,False,False,Barajas
17,65,3,90000,1385,False,False,False,True,False,False,False,False,21,True,False,False,False,Barajas
18,75,3,129900,1732,True,False,False,True,False,False,False,False,21,True,False,False,False,Barajas
19,60,2,94900,1582,False,False,False,False,False,False,False,False,21,True,False,False,False,Barajas
20,60,2,89900,1498,False,False,False,True,False,False,False,False,21,True,False,False,False,Barajas
21,95,4,144900,1525,False,False,False,False,False,False,False,False,21,True,False,False,False,Barajas
22,76,3,110000,1447,True,False,False,True,False,False,False,False,21,True,False,False,False,Barajas
23,51,2,93000,1824,False,False,False,False,False,False,False,False,21,True,False,False,False,Barajas
24,134,3,130000,970,False,False,False,False,False,False,False,False,21,True,False,False,False,Barajas
25,62,2,104000,1677,False,False,False,True,False,False,False,False,21,True,False,False,False,Barajas
26,75,3,138000,1840,False,False,False,True,False,False,False,True,21,True,False,False,False,Barajas
27,112,4,280000,2500,False,False,True,False,False,True,True,True,21,True,False,False,False,Barajas
28,65,3,150000,2308,True,False,True,False,False,False,False,False,21,True,False,False,False,Barajas
29,70,2,145900,2084,False,False,False,True,True,False,False,False,21,True,False,False,False,Barajas
30,75,1,92500,1233,False,False,False,False,True,False,False,False,21,True,False,False,False,Barajas
31,123,3,298000,2423,False,False,True,False,False,True,False,True,21,True,False,False,False,Barajas
32,61,3,99900,1638,False,False,False,True,False,False,False,False,21,True,False,False,False,Barajas
33,72,2,138000,1917,False,False,False,False,True,False,False,True,21,True,False,False,False,Barajas
34,61,3,100000,1639,False,False,False,False,True,False,False,False,21,True,False,False,False,Barajas
35,71,3,131400,1851,True,False,False,True,False,False,False,False,21,True,False,False,False,Barajas
36,87,3,96000,1103,True,False,False,True,False,False,False,False,21,True,False,False,False,Barajas
37,60,2,154000,2567,False,False,False,True,False,False,False,False,21,True,False,False,False,Barajas
38,78,4,146700,1881,False,False,False,False,False,False,False,False,21,True,False,False,False,Barajas
39,52,1,92500,1779,False,False,False,False,False,False,False,False,21,True,False,False,False,Barajas
40,125,3,275000,2200,False,False,True,True,False,True,False,False,21,False,True,False,False,Barajas
42,97,2,266122,2744,False,False,True,True,False,False,True,False,21,True,False,False,False,Barajas
43,93,2,228273,2455,False,False,True,True,False,False,True,False,21,True,False,False,False,Barajas
44,103,4,171900,1669,False,False,False,False,False,True,False,False,21,True,False,False,False,Barajas
45,83,2,228273,2750,False,False,True,True,False,True,True,True,21,False,False,False,True,Barajas
46,45,2,85000,1889,True,False,False,False,True,False,False,False,21,True,False,False,False,Barajas
47,120,3,298000,2483,False,False,True,False,False,True,False,True,21,True,False,False,False,Barajas
48,74,3,139000,1878,False,False,False,False,False,True,False,False,21,True,False,False,False,Barajas
49,125,3,272500,2180,False,False,True,True,False,True,True,False,21,False,True,False,False,Barajas
50,126,4,275000,2183,False,False,True,True,False,True,True,True,21,True,False,False,False,Barajas
51,158,3,289000,1829,False,False,True,True,False,True,True,True,21,False,False,False,True,Barajas
52,65,2,115000,1769,False,False,False,False,False,False,False,False,21,True,False,False,False,Barajas
53,108,3,179000,1657,False,False,False,True,False,False,False,False,21,True,False,False,False,Barajas
54,62,2,123000,1984,False,False,False,False,False,False,False,False,21,True,False,False,False,Barajas
55,51,2,89500,1755,True,False,False,True,False,False,False,False,21,True,False,False,False,Barajas
56,112,3,289000,2580,False,False,True,False,False,True,True,True,21,True,False,False,False,Barajas
57,109,3,216278,1984,False,False,True,True,False,True,False,True,21,True,False,False,False,Barajas
58,107,3,207503,1939,False,False,True,True,False,True,False,True,21,True,False,False,False,Barajas
59,76,2,162793,2142,False,False,True,False,False,True,False,True,21,True,False,False,False,Barajas
60,105,3,204999,1952,False,False,True,True,False,True,False,True,21,True,False,False,False,Barajas
61,109,3,220879,2026,False,False,True,True,False,True,False,True,21,True,False,False,False,Barajas
62,108,3,218258,2021,False,False,True,True,False,True,False,True,21,True,False,False,False,Barajas
63,109,3,231855,2127,False,False,True,True,False,True,False,True,21,True,False,False,False,Barajas
64,76,2,163397,2150,False,False,True,False,False,True,False,True,21,True,False,False,False,Barajas
65,76,2,160759,2115,False,False,True,False,False,True,False,True,21,True,False,False,False,Barajas
66,108,3,217169,2011,False,False,True,True,False,True,False,True,21,True,False,False,False,Barajas
67,76,2,165208,2174,False,False,True,False,False,True,False,True,21,True,False,False,False,Barajas
68,109,3,219775,2016,False,False,True,True,False,True,False,True,21,True,False,False,False,Barajas
69,108,3,230817,2137,False,False,True,True,False,True,False,True,21,True,False,False,False,Barajas
70,108,3,213722,1979,False,False,True,True,False,True,False,True,21,True,False,False,False,Barajas
71,111,2,230749,2079,False,False,True,True,False,True,False,True,21,False,False,False,True,Barajas
72,115,3,233789,2033,False,False,True,False,False,True,False,True,21,True,False,False,False,Barajas
73,115,3,230789,2007,False,False,True,False,False,True,False,True,21,True,False,False,False,Barajas
74,117,3,244171,2087,False,False,True,True,False,True,False,True,21,True,False,False,False,Barajas
75,117,3,243468,2081,False,False,True,True,False,True,False,True,21,True,False,False,False,Barajas
76,117,3,244798,2092,False,False,True,True,False,True,False,True,21,True,False,False,False,Barajas
77,118,3,219235,1858,False,False,True,False,False,True,False,True,21,True,False,False,False,Barajas
